"","transit","driving","walking","bicycling"
"Abrera",NA,6582,102147,25996
"Ager",NA,NA,NA,NA
"Agramunt",NA,8108,107953,31049
"Aguilar de Segarra",NA,6050,86686,23704
"Agullana",NA,10342.5,109312,33047
"Aiguafreda",NA,7224,82750,25791
"Aiguamurcia",NA,9314.25,131614,35909
"Aiguaviva",NA,8092,98571,33109
"Aitona",NA,10249,157583,43749
"Alamus",NA,8920,134886,37421
"Alas i Cerc",NA,5278,62791,15495
"Albages",NA,10103,144689,40381
"Albanya",NA,10940,95639,32409
"Albatarrec",NA,9255,145652,40508
"Albesa",NA,9698,136903,38319
"Albi",NA,NA,NA,NA
"Albinyana",NA,8910,137352,38369
"Albiol",NA,NA,NA,NA
"Albons",NA,10033,108926,33603
"Alcanar",NA,13197,227927,61710.125
"Alcano",NA,NA,NA,NA
"Alcarras",NA,9790,150137,41545
"Alcoletge",NA,9049,136581,37678
"Alcover",NA,9894,143882,39464
"Aldea",NA,NA,NA,NA
"Aldover",NA,13077,213977,60820
"Aleixar",NA,10426,157321,43610
"Alella",NA,7633,113844,34773
"Alfara de Carles",NA,13903,221843,61866
"Alfarras",NA,9847,142374,40711
"Alfes",NA,NA,NA,NA
"Alforja",NA,11114,162007,44344
"Algerri",NA,9391,137712,39246
"Alguaire",NA,9482,144610,40081
"Alins",NA,8482,98295,30265
"Alio",NA,NA,NA,NA
"Almacelles",NA,9921,151664,42047
"Almatret",NA,11131,169732,48077
"Almenar",NA,9873,145249,40205
"Almoster",NA,10551,152424,41566
"Alos de Balaguer",NA,8736,117474,32527
"Alp",NA,NA,NA,NA
"Alpens",NA,6099,42427,15236
"Alpicat",NA,9593,147297,40978
"Alt Aneu",NA,9427,144041,34613
"Altafulla",NA,9153,148247,41186
"Amer",NA,NA,NA,NA
"Ametlla de Mar",NA,11283,187549,51686
"Ametlla del Valles",NA,7363,95535,28664
"Ampolla",NA,NA,NA,NA
"Amposta",NA,12300,210617,57266
"Angles",NA,NA,NA,NA
"Anglesola",NA,7792,112590,31453
"Arbeca",NA,8764,127349,35338
"Arboc",NA,NA,NA,NA
"Arboli",NA,11522,162325,45417
"Arbucies",NA,7408,97316,30923
"Arenys de Mar",NA,8673,118358,38911
"Arenys de Munt",NA,8654,113997,37375
"Argelaguer",NA,8147,73165,23538
"Argencola",NA,7552,105858,29852
"Argentera",NA,29420,460726,130645
"Argentona",NA,8102.25,114426,35056
"Armentera",NA,10008,106853,32913
"Arnes",NA,NA,NA,NA
"Arres",NA,12954,176073.5,47751
"Arseguel",NA,3451,54405,11566
"Artes",NA,NA,NA,NA
"Artesa de Lleida",NA,9434,139983,39013
"Artesa de Segre",NA,7636,110229,30404
"Asco",NA,NA,NA,NA
"Aspa",NA,NA,NA,NA
"Avellanes i Santa Linya",NA,10170,135081,38595
"Avia",NA,NA,NA,NA
"Avinyo",NA,5501,66229,18236
"Avinyonet de Puigventos",NA,9301,93295,28852
"Avinyonet del Penedes",NA,8099,118362,32826
"Badalona",NA,7629,115411,33176
"Badia del Valles",NA,6912,108683,29731
"Baga",NA,NA,NA,NA
"Baix Pallars",NA,8196,112343,30804
"Balaguer",NA,8879.125,127273,36471
"Balenya",NA,6761,77239,24227
"Balsareny",NA,4755,62500,16224
"Banyeres del Penedes",NA,8554,129514,36282
"Banyoles",NA,9216.875,85392,27279
"Barbens",NA,8161,115398,32189
"Barbera de la Conca",NA,9214,127138,35303
"Barbera del Valles",NA,6931,107970,29884
"Barcelona",NA,7780,118376,33132
"Baronia de Rialb",NA,7263,99084,26514
"Bascara",NA,9232,94433,30057
"Bassella",NA,6271,86887,23333
"Batea",NA,13710.875,199017,56578
"Bausen",NA,13043,169099,49689
"Begues",NA,8774,125524,32852
"Begur",NA,10392,122035,37624
"Belianes",NA,8535,122699,33997
"Bellaguarda",NA,NA,NA,NA
"Bellcaire d'Emporda",NA,10219,110627,34169
"Bellcaire d'Urgell",NA,8692,121495,34690
"Bell-lloc d'Urgell",NA,8676,132029,36712
"Bellmunt d'Urgell",NA,8813,117873,33572
"Bellmunt del Priorat",NA,11605,179137,49379
"Bellprat",NA,7911,113221,29778
"Bellpuig",NA,7995,117956,32951
"Bellvei",NA,8719,132825,37547
"Bellver de Cerdanya",NA,2224,13628,7095
"Bellvis",NA,8888,128260,35550
"Benavent de Segria",NA,9331,141246,38964
"Benifallet",NA,12840,201893,58154
"Benissanet",NA,12115,191933,54348
"Berga",NA,3887,39883,9578
"Besalu",NA,NA,NA,NA
"Bescano",NA,8654,94834,31679
"Beuda",NA,8723,79865,25415
"Bigues i Riells",NA,7709,95241,28070
"Biosca",NA,7144,87827,24441
"Bisbal d'Emporda",NA,10242,111431,34131
"Bisbal de Falset",NA,12140.625,164036,46984
"Bisbal del Penedes",NA,8565,135305,37814
"Biure",NA,10287.75,103367,31598
"Blancafort",NA,28833.75,526716,163929
"Blanes",NA,9339,118649,38438
"Boadella i les Escaules",NA,10518.375,102299,31906
"Bolvir",NA,2685,21449,9082
"Bonastre",NA,NA,NA,NA
"Bordes",NA,15672,222312,69924
"Bordils",NA,9196,100409,31110
"Borges Blanques",NA,9011,131375,36525
"Borges del Camp",NA,10278,159065,43699
"Borrassa",NA,9436,94494,29174
"Borreda",NA,5215,33542,12159
"Bossost",NA,12268,170580,47949
"Bot",NA,NA,NA,NA
"Botarell",NA,10511,162479,44591
"Bovera",NA,11367,162442,46960
"Brafim",NA,9137,136896,37251
"Breda",NA,47767,911648,283940
"Bruc",NA,6678,93117,24994
"Brull",NA,NA,NA,NA
"Brunyola i Sant Marti Sapresa",NA,7865,94211,31369
"Cabaces",NA,13079.625,171368,49883
"Cabanabona",NA,7603.375,97827,27655
"Cabanelles",NA,8838,87183,27075
"Cabanes",NA,15624,272787,72991
"Cabanyes",NA,7765,118512,32721
"Cabo",NA,NA,NA,NA
"Cabra del Camp",NA,9557,129361,36130
"Cabrera d'Anoia",NA,7331,106994,29055
"Cabrera de Mar",NA,7910,117464,36420
"Cabrils",NA,8157,114262,36186
"Cadaques",NA,12103.75,121400,36956
"Calaf",NA,6344,88959,25281
"Calafell",NA,8906,136000,38231
"Calders",NA,NA,NA,NA
"Caldes d'Estrac",NA,8401,119481,38728
"Caldes de Malavella",NA,8175,106897,35931.5
"Caldes de Montbui",NA,7773.375,95325,27949
"Calella",NA,8990,121423,40132
"Calldetenes",NA,6253,70238,22700
"Callus",NA,NA,NA,NA
"Calonge de Segarra",NA,6525,88752,24920
"Calonge i Sant Antoni",NA,9614,119561,41239
"Camarasa",NA,NA,NA,NA
"Camarles",NA,12054,202769,55481
"Cambrils",NA,10407,163681,45679
"Camos",NA,NA,NA,NA
"Campdevanol",NA,5307,34981,11703
"Campelles",NA,5756,43160,13899
"Campins",NA,8820,102292,NA
"Campllong",NA,8296,105466,35211
"Camprodon",NA,7239,54713,16665
"Canejan",NA,18235,311742,101772
"Canet d'Adri",NA,9040,91889,32118
"Canet de Mar",NA,8447,118161,39743
"Canonja",NA,10035,157091,43246
"Canovelles",NA,7376,101403,30557
"Canoves i Samalus",NA,8368,101363,31329
"Cantallops",NA,10658.5,110693,33209
