"","municipi","hab"
"1","Abella de la Conca",171
"2","Abrera",12620
"3","Àger",588
"4","Agramunt",5464
"5","Aguilar de Segarra",286
"6","Agullana",885
"7","Aiguafreda",2556
"8","Aiguamúrcia",960
"9","Aiguaviva",789
"10","Aitona",2493
"11","Alamús",773
"12","Alàs i Cerc",322
"13","Albagés",357
"14","Albanyà",178
"15","Albatàrrec",2224
"16","Albesa",1561
"17","Albi",749
"18","Albinyana",2504
"19","Albiol",515
"20","Albons",798
"21","Alcanar",9579
"22","Alcanó",233
"23","Alcarràs",9678
"24","Alcoletge",3492
"25","Alcover",5185
"26","Aldea",4160
"27","Aldover",911
"28","Aleixar",912
"29","Alella",9954
"30","Alfara de Carles",376
"31","Alfarràs",2759
"32","Alfés",301
"33","Alforja",1843
"34","Algerri",423
"35","Alguaire",3065
"36","Alins",279
"37","Alió",478
"38","Almacelles",6875
"39","Almatret",310
"40","Almenar",3365
"41","Almoster",1322
"42","Alòs de Balaguer",122
"43","Alp",1645
"44","Alpens",269
"45","Alpicat",6274
"46","Alt Àneu",430
"47","Altafulla",5512
"48","Amer",2383
"49","Ametlla de Mar",7131
"50","Ametlla del Vallès",8787
"51","Ampolla",3444
"52","Amposta",21317
"53","Anglès",5709
"54","Anglesola",1356
"55","Arbeca",2141
"56","Arboç",5625
"57","Arbolí",126
"58","Arbúcies",6507
"59","Arenys de Mar",15942
"60","Arenys de Munt",9191
"61","Argelaguer",417
"62","Argençola",220
"63","Argentera",126
"64","Argentona",12629
"65","Armentera",998
"66","Arnes",441
"67","Arres",67
"68","Arsèguel",85
"69","Artés",5782
"70","Artesa de Lleida",1525
"71","Artesa de Segre",3441
"72","Ascó",1611
"73","Aspa",207
"74","Avellanes i Santa Linya",447
"75","Avià",2199
"76","Avinyó",2286
"77","Avinyonet de Puigventós",1657
"78","Avinyonet del Penedès",1701
"79","Badalona",223006
"80","Badia del Vallès",13228
"81","Bagà",2145
"82","Baix Pallars",342
"83","Balaguer",17409
