Codi,Literal,Homes,Dones,Total
250019,Abella de la Conca,89,82,171,
080018,Abrera,6373,6247,12620,
250024,Àger,322,266,588,
250030,Agramunt,2763,2701,5464,
080023,Aguilar de Segarra,154,132,286,
170010,Agullana,445,440,885,
080142,Aiguafreda,1239,1317,2556,
430017,Aiguamúrcia,495,465,960,
170025,Aiguaviva,395,394,789,
250387,Aitona,1311,1182,2493,
250045,"Alamús, els",390,383,773,
250058,Alàs i Cerc,155,167,322,
250061,"Albagés, l'",189,168,357,
170031,Albanyà,90,88,178,
250077,Albatàrrec,1148,1076,2224,
250083,Albesa,847,714,1561,
250096,"Albi, l'",383,366,749,
430022,Albinyana,1294,1210,2504,
430038,"Albiol, l'",278,237,515,
170046,Albons,407,391,798,
430043,Alcanar,4862,4717,9579,
250100,Alcanó,118,115,233,
250117,Alcarràs,5070,4608,9678,
250122,Alcoletge,1843,1649,3492,
430056,Alcover,2569,2616,5185,
439044,"Aldea, l'",2219,1941,4160,
430069,Aldover,464,447,911,
430075,"Aleixar, l'",469,443,912,
080039,Alella,4879,5075,9954,
430081,Alfara de Carles,203,173,376,
250138,Alfarràs,1427,1332,2759,
250143,Alfés,162,139,301,
430094,Alforja,937,906,1843,
250156,Algerri,232,191,423,
250169,Alguaire,1632,1433,3065,
250175,Alins,147,132,279,
430108,Alió,237,241,478,
250194,Almacelles,3682,3193,6875,
250208,Almatret,173,137,310,
250215,Almenar,1778,1587,3365,
430115,Almoster,658,664,1322,
250220,Alòs de Balaguer,74,48,122,
170062,Alp,849,796,1645,
080044,Alpens,143,126,269,
250236,Alpicat,3159,3115,6274,
250241,Alt Àneu,250,180,430,
430120,Altafulla,2679,2833,5512,
170078,Amer,1170,1213,2383,
430136,"Ametlla de Mar, l'",3620,3511,7131,
080057,"Ametlla del Vallès, l'",4427,4360,8787,
439060,"Ampolla, l'",1778,1666,3444,
430141,Amposta,10776,10541,21317,
170084,Anglès,2850,2859,5709,
250273,Anglesola,686,670,1356,
250292,Arbeca,1114,1027,2141,
430167,"Arboç, l'",2886,2739,5625,
430154,Arbolí,76,50,126,
170097,Arbúcies,3355,3152,6507,
080060,Arenys de Mar,7749,8193,15942,
080076,Arenys de Munt,4649,4542,9191,
170101,Argelaguer,212,205,417,
080082,Argençola,114,106,220,
430173,"Argentera, l'",72,54,126,
080095,Argentona,6280,6349,12629,
170118,"Armentera, l'",503,495,998,
430189,Arnes,218,223,441,
250313,Arres,44,23,67,
250328,Arsèguel,49,36,85,
080109,Artés,2908,2874,5782,
250334,Artesa de Lleida,808,717,1525,
250349,Artesa de Segre,1772,1669,3441,
430192,Ascó,820,791,1611,
250365,Aspa,103,104,207,
250371,"Avellanes i Santa Linya, les",250,197,447,
080116,Avià,1100,1099,2199,
080121,Avinyó,1148,1138,2286,
170123,Avinyonet de Puigventós,825,832,1657,
080137,Avinyonet del Penedès,906,795,1701,
080155,Badalona,110001,113005,223006,
089045,Badia del Vallès,6473,6755,13228,
080168,Bagà,1065,1080,2145,
250390,Baix Pallars,184,158,342,
250404,Balaguer,8918,8491,17409,
080174,Balenyà,1956,1944,3900,
080180,Balsareny,1632,1646,3278,
430206,Banyeres del Penedès,1659,1621,3280,
170157,Banyoles,10040,10128,20168,
250411,Barbens,518,425,943,
430213,Barberà de la Conca,262,210,472,
082520,Barberà del Vallès,16237,16779,33016,
080193,Barcelona,778744,857988,1636732,
250426,"Baronia de Rialb, la",118,111,229,
170160,Bàscara,523,492,1015,
250447,Bassella,119,105,224,
430228,Batea,937,942,1879,
250450,Bausen,34,32,66,
080207,Begues,3685,3671,7356,
170139,Begur,2020,2019,4039,
250463,Belianes,257,264,521,
251706,Bellaguarda,154,138,292,
170182,Bellcaire d'Empordà,330,369,699,
250479,Bellcaire d'Urgell,629,596,1225,
250485,Bell-lloc d'Urgell,1155,1174,2329,
250498,Bellmunt d'Urgell,90,92,182,
430234,Bellmunt del Priorat,143,138,281,
080214,Bellprat,46,27,73,
250501,Bellpuig,2737,2414,5151,
430249,Bellvei,1183,1120,2303,
250518,Bellver de Cerdanya,1106,1029,2135,
250523,Bellvís,1153,1105,2258,
250539,Benavent de Segrià,810,723,1533,
430252,Benifallet,358,383,741,
430265,Benissanet,615,514,1129,
080229,Berga,8253,8429,16682,
170195,Besalú,1175,1327,2502,
170209,Bescanó,2567,2527,5094,
170216,Beuda,96,91,187,
080235,Bigues i Riells del Fai,4850,4692,9542,
250557,Biosca,96,82,178,
170221,"Bisbal d'Empordà, la",5596,5594,11190,
430271,"Bisbal de Falset, la",124,94,218,
430287,"Bisbal del Penedès, la",2012,1818,3830,
172348,Biure,127,117,244,
430290,Blancafort,209,189,398,
170237,Blanes,20054,20220,40274,
170293,Boadella i les Escaules,138,133,271,
170242,Bolvir,256,233,489,
430304,Bonastre,384,343,727,
250576,"Bòrdes, Es",158,127,285,
170255,Bordils,904,892,1796,
250582,"Borges Blanques, les",3167,3028,6195,
430311,"Borges del Camp, les",1077,1027,2104,
170268,Borrassà,388,364,752,
080240,Borredà,257,198,455,
250595,Bossòst,546,574,1120,
430326,Bot,289,277,566,
430332,Botarell,559,535,1094,
